Instr_resp_2.keys,Instr_resp_2.rt,warmup_resp.keys,warmup_resp.corr,warmup_resp.rt,myownaccuracy,respcorrs,myownaccuracyCORR,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,first_butterfly,second_butterfly,Cue,left_flower,top_flower,bottom_flower,right_flower,corr_ans,obj_file,trial_cond,switch_cond,cuedButter,trial_type,participant,date,expName,psychopyVersion,OS,frameRate,Instr_resp.keys,Instr_resp.rt,taskGoresp.keys,taskGoresp.rt,task_resp_3.keys,task_resp_3.corr,task_resp_3.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,list,key_resp.keys,key_resp.rt
space,36.143,left,0,1.188,0,[],0,0,0,0,12,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/yellow_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/green_flower.png,down,stimuli/objects/toolbox02.jpg,1,99,stimuli/white_butterfly.png,1,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,left,0,0.824,0,[0],0,0,1,1,17,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/red_flower.png,stimuli/green_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,down,stimuli/objects/butterfly4.jpg,0,99,stimuli/grey_butterfly.png,1,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,down,0,1.049,0,[0],0,0,2,2,10,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/green_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,left,stimuli/objects/anchor.jpg,0,99,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,up,0,1.313,0,[0],0,0,3,3,6,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/green_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,right,stimuli/objects/flipflop01b.jpg,1,99,stimuli/grey_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,down,0,1.501,0,"[0,0]",0,0,4,4,3,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,left,stimuli/objects/cigar.jpg,0,99,stimuli/grey_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,left,1,1.216,1,"[0,0]",1,0,5,5,8,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/green_flower.png,stimuli/yellow_flower.png,left,stimuli/objects/shelf.jpg,1,99,stimuli/grey_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,down,1,0.641,1,"[0,0,1]",1,0,6,6,7,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/red_flower.png,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,down,stimuli/objects/firehydrant.jpg,1,99,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,1,0.69,1,"[0,0,1,1]",1,0,7,7,16,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/blue_flower.png,right,stimuli/objects/foosballtable.jpg,1,99,stimuli/white_butterfly.png,1,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,up,1,0.787,1,"[0,0,1,1,1]",1,0,8,8,19,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/green_flower.png,up,stimuli/objects/motorcycle.jpg,1,99,stimuli/white_butterfly.png,1,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,left,0,0.871,0,"[0,0,1,1,1,1]",1,0,9,9,18,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/blue_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/red_flower.png,up,stimuli/objects/armadillo.jpg,0,99,stimuli/white_butterfly.png,1,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,down,1,0.689,1,"[0,0,1,1,1,1]",1,0,10,10,5,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/green_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,down,stimuli/objects/birdfeeder.jpg,1,99,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,left,0,0.896,0,"[0,0,1,1,1,1,1]",1,0,11,11,13,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,up,stimuli/objects/payphone.jpg,0,99,stimuli/white_butterfly.png,1,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,0,0.806,0,"[0,0,1,1,1,1,1]",1,0,12,12,11,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/blue_flower.png,stimuli/green_flower.png,stimuli/yellow_flower.png,stimuli/red_flower.png,left,stimuli/objects/bookshelf.jpg,0,99,stimuli/grey_butterfly.png,1,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,1,0.606,1,"[0,0,1,1,1,1,1]",1,0,13,13,4,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/green_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,right,stimuli/objects/tire.jpg,1,99,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,0,1.49,0,"[0,0,1,1,1,1,1,1]",0,0,14,14,2,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,up,stimuli/objects/corn02.jpg,1,99,stimuli/grey_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,left,1,0.932,1,"[0,0,1,1,1,1,1,1,0]",1,0,15,15,15,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/green_flower.png,left,stimuli/objects/wheat.jpg,1,99,stimuli/grey_butterfly.png,1,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,1,0.761,1,"[0,0,1,1,1,1,1,1,0,1]",1,0,16,16,0,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/green_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/blue_flower.png,right,stimuli/objects/tennisracket.jpg,1,99,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,1,0.844,1,"[0,0,1,1,1,1,1,1,0,1,1]",1,0,17,17,20,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,stimuli/red_flower.png,right,stimuli/objects/toucan.jpg,1,99,stimuli/grey_butterfly.png,1,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,right,0,1.671,0,"[0,0,1,1,1,1,1,1,0,1,1,1]",0,0,18,18,1,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/yellow_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/green_flower.png,up,stimuli/objects/marble.jpg,1,99,stimuli/grey_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,left,1,0.669,1,"[0,0,1,1,1,1,1,1,0,1,1,1,0]",1,0,19,19,9,1,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,left,stimuli/objects/skunk.jpg,1,99,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,up,1,0.566,1,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1]",1,0,20,20,14,1,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,up,stimuli/objects/shed02.jpg,1,99,stimuli/grey_butterfly.png,1,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,
,,,,,1,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1]",1,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/green_flower.png,stimuli/yellow_flower.png,left,stimuli/objects/handbrush02.jpg,1,2,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,space,75.936,space,6.984,left,1,0.518,0,0,0,0,1,,,,,,,,
,,,,,0,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1]",1,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,up,stimuli/objects/fishskeleton.jpg,0,2,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,down,0,0.626,0,1,1,1,1,,,,,,,,
,,,,,0,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1]",1,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,down,stimuli/objects/brownsugar.jpg,0,2,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,up,0,0.544,0,2,2,2,1,,,,,,,,
,,,,,0,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1]",1,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,left,stimuli/objects/gong.jpg,0,2,stimuli/grey_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,down,0,0.581,0,3,3,3,1,,,,,,,,
,,,,,1,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1]",1,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,left,stimuli/objects/treadmill.jpg,1,2,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,left,1,0.654,0,4,4,4,1,,,,,,,,
,,,,,1,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1]",1,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,down,stimuli/objects/shower.jpg,1,2,stimuli/grey_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,down,1,1.206,0,5,5,5,1,,,,,,,,
,,,,,1,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1]",1,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/green_flower.png,stimuli/yellow_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,right,stimuli/objects/skateboard.jpg,1,2,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,right,1,0.683,0,6,6,6,1,,,,,,,,
,,,,,1,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1]",1,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/blue_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/red_flower.png,left,stimuli/objects/barrel01.jpg,1,2,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,left,1,0.702,0,7,7,7,1,,,,,,,,
,,,,,1,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1]",1,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/red_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,stimuli/blue_flower.png,right,stimuli/objects/xylophone.jpg,1,2,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,right,1,0.883,0,8,8,8,1,,,,,,,,
,,,,,1,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/green_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,up,stimuli/objects/forklift.jpg,1,2,stimuli/grey_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,up,1,0.603,0,9,9,9,1,,,,,,,,
,,,,,1,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,stimuli/red_flower.png,right,stimuli/objects/scalpel.jpg,1,2,stimuli/grey_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,right,1,1.07,0,10,10,10,1,,,,,,,,
,,,,,1,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/yellow_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/green_flower.png,up,stimuli/objects/sailboat.jpg,1,2,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,up,1,0.656,0,11,11,11,1,,,,,,,,
,,,,,1,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/green_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,down,stimuli/objects/snowman.jpg,1,2,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,down,1,0.666,0,12,12,12,1,,,,,,,,
,,,,,1,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/green_flower.png,stimuli/yellow_flower.png,stimuli/red_flower.png,stimuli/blue_flower.png,down,stimuli/objects/stool01.jpg,1,2,stimuli/grey_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,down,1,0.789,0,13,13,13,1,,,,,,,,
,,,,,1,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,1,stimuli/red_flower.png,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,left,stimuli/objects/butterfly1.jpg,1,2,stimuli/grey_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,left,1,1.059,0,14,14,14,1,,,,,,,,
,,,,,0,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,2,stimuli/green_flower.png,stimuli/blue_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,left,stimuli/objects/wheelchair.jpg,0,2,stimuli/grey_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,down,0,1.101,0,15,15,15,1,,,,,,,,
,,,,,1,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/blue_flower.png,stimuli/green_flower.png,stimuli/red_flower.png,stimuli/yellow_flower.png,left,stimuli/objects/desktopcomputer.jpg,1,2,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,left,1,1.135,0,16,16,16,1,,,,,,,,
,,,,,1,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/grey_butterfly.png,stimuli/white_butterfly.png,2,stimuli/yellow_flower.png,stimuli/red_flower.png,stimuli/green_flower.png,stimuli/blue_flower.png,right,stimuli/objects/triangle.jpg,1,2,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,right,1,0.988,0,17,17,17,1,,,,,,,,
,,,,,1,"[0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,,,,,,stimuli/white_butterfly.png,stimuli/grey_butterfly.png,1,stimuli/red_flower.png,stimuli/blue_flower.png,stimuli/yellow_flower.png,stimuli/green_flower.png,up,stimuli/objects/dartboard.jpg,1,2,stimuli/white_butterfly.png,0,10,2021-01-15_14h38.30.826,premce3DEU_ses-02_part-01_label-phase1,2020.1.2,Win32,60,,,,,up,1,0.589,0,18,18,18,1,,,,,,,,
